;Cities appearance description file;;;;;;;;;;;;;
;;;;;;;;;;;;;;
#AP left;0;0;166;166;Arial;20;100;255;255;255;0;0;0;AP left Text Dst and Font
;;;;;;;;;;;;;;
#1;City Composition No. You can use max 5 of them;;;;;;;;;;;;;
200;Zoom level;;;;;;;;;;;;;
0;0;0;0;Background Src;;;;;;;;;;
0;0;0;0;Background Dst;;;;;;;;;;
0;0;0;0;Fortification Level Src;;;;;;;;;;
0;0;0;0;Fortification Level Dst;;;;;;;;;;
836;502;64;64; Port Icon Src;;;;;;;;;;
0;0;64;64; Port Icon Dst;;;;;;;;;;
900;502;64;64; Depot Icon Src;;;;;;;;;;
102;0;64;64; Depot Icon Dst;;;;;;;;;;
900;566;64;64; Resources Icon Src;;;;;;;;;;
0;102;64;64; Resources Icon Dst;;;;;;;;;;
836;566;64;64; VP Icon Src;;;;;;;;;;
102;102;64;64; VP Icon Dst;;;;;;;;;;
-77;35;320;20;Arial;20;80;255;255;255;0;0;0;Name Text Dst and Font;
30;55;0;0;Arial;16;100;255;255;255;0;0;0;PP Amount Text Dst and Font;
30;85;0;0;Arial;18;100;255;255;255;0;0;0;VP Amount Text Dst and Font;
45;58;75;50;Flag Rect;;;;;;;;;;
0;0;166;166;Sprite Dst;Src is 166x166;;;;;;;;;
;;;;;;;;;;;;;;
#2;City Composition No. You can use max 5 of them;;;;;;;;;;;;;
80;Zoom level;;;;;;;;;;;;;
0;0;0;0;Background Src;;;;;;;;;;
0;0;0;0;Background Dst;;;;;;;;;;
0;0;0;0;Fortification Level Src;;;;;;;;;;
0;0;0;0;Fortification Level Dst;;;;;;;;;;
836;502;64;64; Port Icon Src;;;;;;;;;;
0;0;64;64; Port Icon Dst;;;;;;;;;;
900;502;64;64; Depot Icon Src;;;;;;;;;;
102;0;64;64; Depot Icon Dst;;;;;;;;;;
900;566;64;64; Resources Icon Src;;;;;;;;;;
0;102;64;64; Resources Icon Dst;;;;;;;;;;
836;566;64;64; VP Icon Src;;;;;;;;;;
102;102;64;64; VP Icon Dst;;;;;;;;;;
-77;35;320;20;Arial;30;80;255;255;255;0;0;0;Name Text Dst and Font;
30;55;0;0;Arial;16;100;255;255;255;0;0;0;PP Amount Text Dst and Font;
30;85;0;0;Arial;18;100;255;255;255;0;0;0;VP Amount Text Dst and Font;
45;58;75;50;Flag Rect;;;;;;;;;;
0;0;166;166;Sprite Dst;Src is 166x166;;;;;;;;;
;;;;;;;;;;;;;;
#3;City Composition No. You can use max 5 of them;;;;;;;;;;;;;
60;Zoom level;;;;;;;;;;;;;
0;0;0;0;Background Src;;;;;;;;;;
0;0;0;0;Background Dst;;;;;;;;;;
0;0;0;0;Fortification Level Src;;;;;;;;;;
0;0;0;0;Fortification Level Dst;;;;;;;;;;
836;502;64;64; Port Icon Src;;;;;;;;;;
0;0;64;64; Port Icon Dst;;;;;;;;;;
900;502;64;64; Depot Icon Src;;;;;;;;;;
102;0;64;64; Depot Icon Dst;;;;;;;;;;
900;566;64;64; Resources Icon Src;;;;;;;;;;
0;102;64;64; Resources Icon Dst;;;;;;;;;;
836;566;64;64; VP Icon Src;;;;;;;;;;
102;102;64;64; VP Icon Dst;;;;;;;;;;
-77;35;320;20;Arial;45;80;255;255;255;0;0;0;Name Text Dst and Font;
30;55;0;0;Arial;16;100;255;255;255;0;0;0;PP Amount Text Dst and Font;
30;85;0;0;Arial;18;100;255;255;255;0;0;0;VP Amount Text Dst and Font;
45;58;75;50;Flag Rect;;;;;;;;;;
0;0;166;166;Sprite Dst;Src is 166x166;;;;;;;;;
;;;;;;;;;;;;;;
#4;City Composition No. You can use max 5 of them;;;;;;;;;;;;;
40;Zoom level;;;;;;;;;;;;;
0;0;0;0;Background Src;;;;;;;;;;
0;0;0;0;Background Dst;;;;;;;;;;
0;0;0;0;Fortification Level Src;;;;;;;;;;
0;0;0;0;Fortification Level Dst;;;;;;;;;;
836;502;64;64; Port Icon Src;;;;;;;;;;
0;0;64;64; Port Icon Dst;;;;;;;;;;
900;502;64;64; Depot Icon Src;;;;;;;;;;
102;0;64;64; Depot Icon Dst;;;;;;;;;;
900;566;64;64; Resources Icon Src;;;;;;;;;;
0;102;64;64; Resources Icon Dst;;;;;;;;;;
836;566;64;64; VP Icon Src;;;;;;;;;;
102;102;64;64; VP Icon Dst;;;;;;;;;;
-77;35;320;20;Arial;100;80;255;255;255;0;0;0;Name Text Dst and Font;
30;55;0;0;Arial;16;100;255;255;255;0;0;0;PP Amount Text Dst and Font;
